GAME_ID,TEAM_ID,TOTAL_PTS,TOTAL_REB,TOTAL_AST,TOTAL_STL,TOTAL_BLK,TOTAL_TO,TOTAL_PF,HOME_TEAM_ID,VISITOR_TEAM_ID,HOME_TEAM_WINS,IS_HOME,TEAM_WON
10700001,1610612738.0,89.0,47.0,20.0,4.0,2.0,18.0,19.0,1610612738,1610612761,1,1,1
10700001,1610612761.0,85.0,41.0,21.0,8.0,2.0,12.0,23.0,1610612738,1610612761,1,0,0
10700005,1610612737.0,94.0,39.0,19.0,8.0,9.0,14.0,23.0,1610612753,1610612737,0,0,1
10700005,1610612753.0,93.0,49.0,22.0,6.0,6.0,15.0,29.0,1610612753,1610612737,0,1,0
10700006,1610612748.0,86.0,35.0,22.0,7.0,6.0,16.0,29.0,1610612765,1610612748,1,0,0
10700006,1610612765.0,103.0,46.0,23.0,9.0,4.0,15.0,23.0,1610612765,1610612748,1,1,1
10700007,1610612739.0,62.0,51.0,14.0,3.0,7.0,26.0,24.0,1610612739,1610612764,0,1,0
10700007,1610612764.0,81.0,42.0,17.0,14.0,9.0,14.0,19.0,1610612739,1610612764,0,0,1
10700008,1610612741.0,88.0,38.0,24.0,8.0,6.0,22.0,33.0,1610612749,1610612741,1,0,0
10700008,1610612749.0,93.0,38.0,20.0,14.0,4.0,16.0,28.0,1610612749,1610612741,1,1,1
10700009,1610612740.0,94.0,47.0,16.0,15.0,8.0,21.0,22.0,1610612740,1610612745,1,1,1
10700009,1610612745.0,92.0,45.0,20.0,14.0,4.0,27.0,33.0,1610612740,1610612745,1,0,0
10700010,1610612743.0,119.0,52.0,27.0,6.0,5.0,19.0,24.0,1610612743,1610612746,1,1,1
10700010,1610612746.0,107.0,41.0,26.0,12.0,3.0,15.0,36.0,1610612743,1610612746,1,0,0
10700011,1610612758.0,104.0,42.0,19.0,17.0,5.0,24.0,19.0,1610612758,1610612760,1,1,1
10700011,1610612760.0,98.0,40.0,25.0,13.0,5.0,26.0,25.0,1610612758,1610612760,1,0,0
10700012,1610612744.0,111.0,43.0,23.0,11.0,6.0,12.0,34.0,1610612747,1610612744,0,0,1
10700012,1610612747.0,110.0,49.0,22.0,5.0,3.0,18.0,25.0,1610612747,1610612744,0,1,0
10700013,1610612742.0,88.0,44.0,15.0,11.0,7.0,12.0,17.0,1610612742,1610612759,1,1,1
10700013,1610612759.0,67.0,46.0,15.0,6.0,2.0,18.0,20.0,1610612742,1610612759,1,0,0
10700015,1610612753.0,123.0,38.0,29.0,8.0,7.0,19.0,22.0,1610612753,1610612766,1,1,1
10700015,1610612766.0,99.0,29.0,19.0,10.0,4.0,13.0,19.0,1610612753,1610612766,1,0,0
10700016,1610612740.0,96.0,41.0,21.0,9.0,7.0,18.0,36.0,1610612754,1610612740,1,0,0
10700016,1610612754.0,101.0,60.0,19.0,8.0,2.0,22.0,27.0,1610612754,1610612740,1,1,1
10700017,1610612749.0,90.0,41.0,19.0,5.0,4.0,13.0,22.0,1610612762,1610612749,0,0,1
10700017,1610612762.0,81.0,38.0,20.0,5.0,8.0,21.0,26.0,1610612762,1610612749,0,1,0
10700018,1610612746.0,102.0,54.0,19.0,7.0,4.0,20.0,21.0,1610612757,1610612746,1,0,0
10700018,1610612757.0,111.0,39.0,29.0,8.0,1.0,11.0,21.0,1610612757,1610612746,1,1,1
10700019,1610612737.0,106.0,51.0,16.0,8.0,4.0,21.0,24.0,1610612748,1610612737,0,0,1
10700019,1610612748.0,100.0,38.0,18.0,9.0,10.0,18.0,32.0,1610612748,1610612737,0,1,0
10700020,1610612738.0,92.0,33.0,23.0,13.0,4.0,15.0,24.0,1610612750,1610612738,0,0,1
10700020,1610612750.0,81.0,37.0,18.0,5.0,5.0,21.0,34.0,1610612750,1610612738,0,1,0
10700023,1610612737.0,109.0,38.0,17.0,11.0,8.0,20.0,31.0,1610612737,1610612766,1,1,1
10700023,1610612766.0,104.0,48.0,20.0,6.0,3.0,19.0,34.0,1610612737,1610612766,1,0,0
10700024,1610612739.0,96.0,57.0,19.0,11.0,8.0,27.0,32.0,1610612739,1610612765,1,1,1
10700024,1610612765.0,90.0,41.0,17.0,13.0,6.0,17.0,35.0,1610612739,1610612765,1,0,0
10700025,1610612756.0,110.0,43.0,28.0,8.0,5.0,20.0,22.0,1610612758,1610612756,0,0,1
10700025,1610612758.0,99.0,42.0,17.0,10.0,3.0,20.0,25.0,1610612758,1610612756,0,1,0
